accession,hostType
KX547358,Mosquito
KX547357,Mosquito
KX547356,Mosquito
KX547355,ResidentBird
KX547354,ResidentBird
KX547353,Mosquito
KX547352,Mosquito
KX547351,Mosquito
KX547350,Mosquito
KX547349,Mosquito
KX547348,Mosquito
KX547347,ResidentBird
KX547346,ResidentBird
KX547345,ResidentBird
KX547344,Mosquito
KX547343,Mosquito
KX547342,Mosquito
KX547341,ResidentBird
KX547340,Mosquito
KX547339,ResidentBird
KX547338,ResidentBird
KX547337,Mosquito
KX547336,ResidentBird
KX547335,Mosquito
KX547334,Mosquito
KX547333,Mosquito
KX547332,ResidentBird
KX547331,ResidentBird
KX547330,Mosquito
KX547328,Mosquito
KX547327,ResidentBird
KX547326,Mosquito
KX547325,Mosquito
KX547324,Mosquito
KX547323,Mosquito
KX547321,ResidentBird
KX547320,ResidentBird
KX547319,ResidentBird
KX547318,ResidentBird
KX547317,ResidentBird
KX547316,Mosquito
KX547315,Mosquito
KX547314,Mosquito
KX547313,ResidentBird
KX547312,ResidentBird
KX547311,Mammal
KX547310,Mosquito
KX547309,ResidentBird
KX547308,ResidentBird
KX547307,ResidentBird
KX547306,Mosquito
KX547305,ResidentBird
KX547304,ResidentBird
KX547303,Mosquito
KX547302,ResidentBird
KX547300,ResidentBird
KX547299,ResidentBird
KX547298,Mosquito
KX547297,ResidentBird
KX547296,ResidentBird
KX547295,Mosquito
KX547294,Mosquito
KX547293,Mosquito
KX547292,Mosquito
KX547291,Mosquito
KX547290,ResidentBird
KX547289,ResidentBird
KX547288,ResidentBird
KX547287,ResidentBird
KX547286,Mosquito
KX547285,ResidentBird
KX547284,Mosquito
KX547283,Mosquito
KX547282,ResidentBird
KX547281,ResidentBird
KX547280,Mosquito
KX547278,ResidentBird
KX547277,Mosquito
KX547276,Mosquito
KX547275,ResidentBird
KX547274,Mosquito
KX547273,Mosquito
KX547272,Mosquito
KX547271,ResidentBird
KX547270,ResidentBird
KX547269,Mosquito
KX547268,Mosquito
KX547267,ResidentBird
KX547266,Mosquito
KX547264,ResidentBird
KX547263,ResidentBird
KX547262,ResidentBird
KX547261,ResidentBird
KX547260,ResidentBird
KX547259,ResidentBird
KX547258,ResidentBird
KX547256,Mosquito
KX547255,Mosquito
KX547254,Mosquito
KX547253,ResidentBird
KX547252,Mosquito
KX547251,Mosquito
KX547250,ResidentBird
KX547249,ResidentBird
KX547248,Mosquito
KX547247,Mosquito
KX547246,ResidentBird
KX547245,Mosquito
KX547244,ResidentBird
KX547243,ResidentBird
KX547242,Mosquito
KX547241,Mosquito
KX547240,Mosquito
KX547239,Mosquito
KX547238,ResidentBird
KX547236,Mosquito
KX547235,Mosquito
KX547234,Mosquito
KX547233,ResidentBird
KX547232,ResidentBird
KX547231,Mosquito
KX547230,Mosquito
KX547229,ResidentBird
KX547228,ResidentBird
KX547227,Mosquito
KX547226,Mosquito
KX547224,Mosquito
KX547223,ResidentBird
KX547222,Mosquito
KX547221,Mosquito
KX547220,ResidentBird
KX547218,Mosquito
KX547217,MigratoryBird
KX547216,Mosquito
KX547215,Mosquito
KX547214,ResidentBird
KX547213,ResidentBird
KX547212,Mosquito
KX547211,ResidentBird
KX547210,Mosquito
KX547209,ResidentBird
KX547207,ResidentBird
KX547206,Mosquito
KX547205,Mosquito
KX547204,ResidentBird
KX547203,Mosquito
KX547202,MigratoryBird
KX547201,Mosquito
KX547200,Mosquito
KX547199,Mosquito
KX547198,Mosquito
KX547197,ResidentBird
KX547196,Mosquito
KX547195,ResidentBird
KX547194,ResidentBird
KX547193,Mosquito
KX547192,Mosquito
KX547190,Mosquito
KX547189,Mosquito
KX547188,Mosquito
KX547187,ResidentBird
KX547186,Mosquito
KX547185,Mosquito
KX547184,Mosquito
KX547183,Mosquito
KX547182,Mosquito
KX547181,ResidentBird
KX547180,ResidentBird
KX547179,ResidentBird
KX547177,Mosquito
KX547177,Mosquito
KX547176,Mosquito
KX547174,Mosquito
KX547173,ResidentBird
KX547172,ResidentBird
KX547171,Mosquito
KX547170,Mosquito
KX547169,Mosquito
KX547168,ResidentBird
KX547167,Mosquito
KX547166,Mammal
KX547165,ResidentBird
KX547164,Mosquito
KR868734,Mosquito
KJ786935,ResidentBird
KF704153,Mosquito
KF704147,Mosquito
KC333387,ResidentBird
KC333384,MigratoryBird
KC333383,ResidentBird
KC333381,ResidentBird
KC333379,ResidentBird
KC333378,ResidentBird
KC333376,ResidentBird
KC333375,ResidentBird
KC711059,Mosquito
KC711058,Mosquito
KC711057,Mosquito
KC736502,Mosquito
KC736500,Mosquito
KC736495,Mosquito
KC736493,Mosquito
KC736492,Mosquito
KC736491,Mosquito
KC736490,Mosquito
KC736488,Mosquito
JX015523,Mosquito
JX015522,Mosquito
JX015517,Mosquito
JX015516,Mosquito
JX015515,Mosquito
GQ507483,Mammal
GQ507482,Mammal
GQ507481,Mammal
GQ507480,Mammal
GQ507479,Mammal
GQ507478,Mammal
GQ507476,Mammal
GQ507475,Mammal
GQ507474,Mammal
GQ507473,Mammal
GQ507472,Mammal
GQ507471,Mammal
GQ507470,Mammal
GQ507469,Mammal
GQ507468,Mammal
HM488175,Mosquito
HM488174,Mosquito
HM488173,Mosquito
HM488171,Mosquito
HM488170,Mosquito
HM488165,Mosquito
HM488164,Mosquito
HM488162,Mosquito
HM488160,Mosquito
HM488159,Mosquito
HM488157,Mosquito
HM488155,Mosquito
HM488148,Mosquito
HM488147,Mosquito
HM488143,Mosquito
HM488142,Mosquito
HM488140,Mosquito
HM488139,Mosquito
HM488138,Mosquito
HM488137,Mosquito
HM488136,Mosquito
HM488135,Mosquito
HM488132,Mosquito
HM488131,Mosquito
HM488130,Mosquito
HM488129,Mosquito
HM488128,ResidentBird
HM488125,ResidentBird
HM488121,Mosquito
HM488117,Mosquito
HM756659,Mosquito
HM756658,Mosquito
HM756657,Mosquito
HM756656,Mosquito
HM756654,Mosquito
HM756653,Mosquito
HM756652,Mosquito
HM756651,Mosquito
HM756648,Mosquito
HM488236,Mosquito
HM488235,Mosquito
HM488234,Mosquito
HM488232,Mosquito
HM488230,Mosquito
HM488228,Mosquito
HM488226,Mosquito
HM488224,Mosquito
HM488222,Mosquito
HM488221,Mosquito
HM488220,Mosquito
HM488219,Mosquito
HM488218,Mosquito
HM488216,Mosquito
HM488215,Mosquito
HM488214,Mosquito
HM488213,Mosquito
HM488212,Mosquito
HM488210,Mosquito
HM488209,Mosquito
HM488208,Mosquito
JF703164,Mosquito
JF703163,Mosquito
JF703162,Mosquito
JF703161,Mosquito
JF415930,Mosquito
JF415929,ResidentBird
JF415924,ResidentBird
JF415922,Mosquito
JF415921,ResidentBird
JF415920,ResidentBird
JF415919,Mosquito
JF415918,ResidentBird
JF415917,ResidentBird
JF415916,ResidentBird
JF415914,Mosquito
GU828004,ResidentBird
GU828003,MigratoryBird
GU828002,Mosquito
GU828001,Mosquito
GU828000,ResidentBird
GU827999,ResidentBird
DQ431712,Mammal
DQ431711,Mammal
DQ431710,Mammal
DQ431709,Mammal
DQ431708,Mammal
DQ431707,Mammal
DQ431705,Mammal
DQ431704,Mammal
DQ431703,Mammal
DQ431702,Mammal
DQ431700,Mammal
DQ431699,Mammal
DQ431698,Mammal
DQ431697,Mammal
DQ431696,Mammal
DQ431695,Mammal
DQ431694,Mammal
DQ431693,Mammal
DQ164206,ResidentBird
DQ164204,MigratoryBird
DQ164203,ResidentBird
DQ164202,Mammal
DQ164201,Mammal
DQ164200,Mammal
DQ164199,Mammal
DQ164198,Mammal
DQ164196,Mammal
DQ164195,Mosquito
DQ164193,ResidentBird
DQ164192,ResidentBird
DQ164191,ResidentBird
DQ164190,ResidentBird
DQ164189,ResidentBird
DQ164188,ResidentBird
DQ164187,ResidentBird
DQ164186,ResidentBird
FJ151394,ResidentBird
AY289214,Mammal
KR349026,Mosquito
KR349025,Mosquito
KR349024,Mosquito
KR349023,Mosquito
KR349020,Mosquito
KR349019,Mosquito
KR349018,Mosquito
KR349017,Mosquito
KR349016,Mosquito
KR349015,Mosquito
KR349014,Mosquito
KR349013,Mosquito
KR349011,Mosquito
KR349010,Mosquito
KR349009,Mosquito
KR349008,Mosquito
KR349007,Mosquito
KR349006,Mosquito
KR349004,Mosquito
KR349003,Mosquito
KR349002,Mosquito
KR349001,Mosquito
KR349000,Mosquito
KR348999,Mosquito
KR348998,Mosquito
KR348997,Mosquito
KR348996,Mosquito
KR348995,Mosquito
KR348994,Mosquito
KR348993,Mosquito
KR348991,Mosquito
KR348988,Mosquito
KR348987,Mosquito
KR348981,Mosquito
KR348979,Mosquito
KR348978,Mosquito
KR348976,Mosquito
KR348975,Mosquito
KR348974,Mosquito
KR348966,Mosquito
KR348955,Mosquito
KR348952,Mosquito
KR348951,Mosquito
KR348949,Mosquito
KR348948,Mosquito
KR348946,Mosquito
KR348945,Mosquito
KR348943,Mosquito
KR348939,Mosquito
KR348936,Mosquito
KR348935,Mosquito
KR348930,Mosquito
KR348929,Mosquito
KR348928,Mosquito
KR348925,Mosquito
KR348922,Mosquito
KR348921,Mosquito
KR348920,Mosquito
KR348919,Mosquito
KR348916,Mosquito
AF404756,ResidentBird
AF404755,ResidentBird
AF404754,Mosquito
AF404753,ResidentBird
AY712948,Mosquito
AY712947,ResidentBird
AF533540,Mammal
AF196835,ResidentBird
DQ080072,ResidentBird
DQ080062,Mosquito
DQ080061,ResidentBird
DQ080059,ResidentBird
DQ080058,ResidentBird
DQ080057,ResidentBird
DQ080056,Mosquito
DQ080055,Mosquito
DQ080054,Mosquito
DQ080053,Mosquito
DQ080052,Mosquito
DQ080051,Mosquito
AF206518,Mosquito
AF202541,Mammal
DQ176637,ResidentBird
AY646354,Mammal
DQ666452,Mammal
DQ666452,Mammal
DQ666451,Mammal
DQ666451,Mammal
DQ666450,Mammal
DQ666450,Mammal
DQ666449,Mammal
DQ666449,Mammal
DQ666448,Mammal
DQ666448,Mammal
AF260967,Mammal
DQ005530,Mammal
KY229074,Mosquito
KY229073,Mosquito
KY229072,Mosquito
KY229070,Mosquito
KY229069,Mosquito
KY216155,Mosquito
KY216154,Mosquito
KY216153,Mosquito
KY216152,Mosquito
JX015520,Mosquito
JX015518,Mosquito
