sequenceID,URL,division,country,host,state,strain,collection_data,authors
KJ501483,,NE,United-States,Bird-other,NE,WN02,2002-07-30,Newman et al
KX547587,,NY/Suffolk,United-States,Bird-other,NY,WN02,2006-08-03,Shabman et al
KJ501414,,NC,United-States,Bird-other,NC,WN02,2005-08-25,Newman et al
MH170243,,CO/Weld,United-States,Mosquito-Culex,CO,WN02,2006-08-01,Swetnam et al
KX547350,,NY/Rockland,United-States,Mosquito-Culex,NY,WN02,2006-07-28,Shabman et al
KX547616,,NY/Kings,United-States,Bird-crow,NY,WN02,2007-09-20,Shabman et al
KX547382,,NY/Richmond,United-States,Bird-other,NY,WN02,2007-08-24,Shabman et al
KX547329,,NY/Richmond,United-States,Bird-other,NY,WN02,2007-08-24,Shabman et al
KX547435,,NY/Kings,United-States,Bird-crow,NY,WN02,2006-08-18,Shabman et al
KX547209,,NY/Montgomery,United-States,Bird-crow,NY,WN02,2006-10-22,Shabman et al
KX547342,,NY/Orange,United-States,Mosquito-Culex,NY,WN02,2006-08-10,Shabman et al
KX547516,,NY/Tompkins,United-States,Bird-crow,NY,WN02,2007-08-22,Shabman et al
KX547233,,NY/Richmond,United-States,Bird-other,NY,WN02,2007-07-19,Shabman et al
KX547224,,NY/Rockland,United-States,Mosquito-Culex,NY,WN02,2006-09-08,Shabman et al
KX547385,,NY/Richmond,United-States,Bird-other,NY,WN02,2006-07-27,Shabman et al
JF920734,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2006-08-01,Henn et al
KX547433,,NY/Richmond,United-States,Bird-other,NY,WN02,2006-08-31,Shabman et al
KX547180,,NY/Oswego,United-States,Bird-crow,NY,WN02,2006-09-07,Shabman et al
KX547234,,NY/Westchester,United-States,Mosquito-Culex,NY,WN02,2012-07-04,Shabman et al
KJ501219,,CO/Larimer,United-States,Mosquito-Culex,CO,WN02,2012-08-28,Newman et al
KJ501207,,CO/Larimer,United-States,Mosquito-Culex,CO,WN02,2012-08-14,Newman et al
KJ501330,,ND/Mclean,United-States,Bird-other,ND,WN02,2005-08-25,Newman et al
